Date,Open,High,Low,Close,Adj Close,Volume,Interval_Range
2013-07-01,14.381786,14.723929,14.329286,14.615,12.688703,391053600,14.329286-14.723929
2013-07-02,14.641429,15.058214,14.623929,14.946071,12.976134,469865200,14.623929-15.058214
2013-07-03,15.030714,15.106429,14.908929,15.028571,13.047762,240928800,14.908929-15.106429
2013-07-05,15.013929,15.1175,14.833929,14.907857,12.942959,274024800,14.833929-15.1175
2013-07-08,15.003929,15.035714,14.666071,14.823214,12.86947,298138400,14.666071-15.035714
2013-07-09,14.771429,15.125,14.656429,15.083929,13.095822,352584400,14.656429-15.125
2013-07-10,14.985714,15.171429,14.9375,15.026071,13.045591,281405600,14.9375-15.171429
2013-07-11,15.105357,15.294643,15.041786,15.260357,13.248999,326292400,15.041786-15.294643
2013-07-12,15.273214,15.349643,15.121786,15.2325,13.22481,279563200,15.121786-15.349643
2013-07-15,15.178929,15.409286,15.171429,15.265714,13.253646,241917200,15.171429-15.409286
2013-07-16,15.232857,15.3825,15.148929,15.364286,13.33923,216538000,15.148929-15.3825
2013-07-17,15.346429,15.436429,15.293571,15.368214,13.342638,198990400,15.293571-15.436429
2013-07-18,15.477857,15.531071,15.378929,15.42,13.3876,218878800,15.378929-15.531071
2013-07-19,15.467857,15.499286,15.155357,15.176786,13.176442,268721600,15.155357-15.499286
2013-07-22,15.337857,15.348214,15.195357,15.225357,13.21861,207796400,15.195357-15.348214
2013-07-23,15.214286,15.248571,14.953929,14.963929,12.991639,369395600,14.953929-15.248571
2013-07-24,15.676071,15.878214,15.545,15.7325,13.65891,591936800,15.545-15.878214
2013-07-25,15.739286,15.764286,15.564643,15.660714,13.596587,229493600,15.564643-15.764286
2013-07-26,15.546429,15.751429,15.512143,15.749643,13.673793,200152400,15.512143-15.751429
2013-07-29,15.742857,16.071072,15.721429,15.9925,13.884639,248057600,15.721429-16.071072
2013-07-30,16.07,16.326786,16.043928,16.190001,14.056112,309422400,16.043928-16.326786
2013-07-31,16.249643,16.33357,16.051071,16.161785,14.031615,322957600,16.051071-16.33357
2013-08-01,16.276787,16.314285,16.187857,16.309999,14.160294,206250800,16.187857-16.314285
2013-08-02,16.3575,16.530357,16.309286,16.519285,14.341996,274783600,16.309286-16.530357
2013-08-05,16.596071,16.809643,16.505358,16.766071,14.556252,318855600,16.505358-16.809643
